Original_English,Original_Hindi,Translated_Text,Input_Emotion,Translated_Emotion,Confidence_Deviation
"Terrorists are not stupid; focusing on Arabs, as Smerconish urges, will prompt them to turn to non - Arab operatives. This is already a concern. Jean - Louis Bruguière, the leading French anti - terrorist investigating judge, warned along these lines in May 2003, recounts Robert Leiken, that “al - Qaida had stepped up its European recruiting efforts and was on the lookout for women and light - skinned converts in particular. ” The deputy director of a French intelligence agency, the Direction de la Surveillance du Territoire, even told Mr. Leiken that “converts are our most critical work now. ” < s > Smerconish responds to my argument by acknowledging that his book may at some point become obsolete, “but that day is not today. ” He sees physical appearance remaining a key predictor of intentions.",फिलाडेल्फिया डेली न्यूज़ के स्तंभकार और रेडियो टॉक शो के मेजबान माईकल ए. स्मरकोनिश ने अपनी नई और साहसी पुस्तक Flying Blind: How Political Correctness Continues to Compromise Airline Safety Post 9/11. में लिखा है कि प्रमुख तत्व नस्ल है. इसके विपरीत मेरा मानना है कि मुख्य बाहरी तत्व नहीं है वरन् यह है कि व्यक्ति के मस्तिष्क में क्या है जिसे इस्लामवादी आस्था कह सकते हैं. ,"आतंकवादी मूर्ख नहीं हैं; अरबों पर ध्यान केंद्रित करना, जैसा कि स्मेरकोनिश का आग्रह है, उन्हें गैर-अरब एजेंटों की ओर रुख करने के लिए प्रेरित करेगा। यह पहले से ही एक चिंता है। फ्रांस के अग्रणी आतंकवाद विरोधी जांच न्यायाधीश जीन-लुई ब्रोगीयर ने मई 2003 में इस तरह से चेतावनी दी थी, रॉबर्ट लेइकेन की कहानी है, कि  अल-कायदा ने अपने यूरोपीय भर्ती प्रयासों को बढ़ा दिया था और महिलाओं और हल्के त्वचा वाले धर्मांतरितों की तलाश में था, विशेष रूप से।  एक फ्रांसीसी खुफिया एजेंसी, डायरेक्शन डी ला Surveillance du Territoire के उप निदेशक ने यहां तक कि श्री लेइकन से कहा था कि  रूपांतरण अब हमारा सबसे महत्वपूर्ण काम है।  < s > स्मेरकोनिश ने मेरे तर्क का जवाब देते हुए स्वीकार किया कि उनकी पुस्तक कभी",surprise,surprise,0.0133853554725646
"I wish you all the very best. Let me conclude in the words of Confucius: ""Education breeds confidence. Confidence breeds hope. Hope breeds peace”.","मैं कन्फूसियस के शब्दों से अपनी बात समाप्त करता हूं, ‘शिक्षा से विश्वास पैदा होता है,विश्वास से उम्मीद पैदा होती है, उम्मीद से शांति पैदा होती है।’","मैं आपको शुभकामनाएं देता हूं। मैं कन्फ्यूशियस के शब्दों में समाप्त करने की अनुमति देता हूंः ""शिक्षा आत्मविश्वास पैदा करती है। आत्मविश्वास आशा पैदा करता है। आशा शांति पैदा करती है।",joy,joy,0.1563893556594848
No Title,कोई शीर्षक नहीं,कोई शीर्षक नहीं,surprise,surprise,0.1977131366729736
Select,चुनें,चुनें,surprise,surprise,0.0318135619163513
Dark Gray,गाढ़ा धूसर,डार्क ग्रे,sadness,sadness,0.0306496322154998
preserve,संभालना,संरक्षण,surprise,surprise,0.2405053079128266
It 's been my observation that most people get ahead during the time that others waste.,मैंने देखा है कि ज्यादातर लोग उस समय आगे निकल जाते हैं जब दूसरे समय को बरबाद कर रहे होते हैं। ,यह मेरा अवलोकन है कि अधिकांश लोग समय के दौरान आगे बढ़ते हैं जो दूसरों ने बर्बाद किया है।,surprise,surprise,0.1568066179752349
Emergency contraception can be use only up to 72 hours (3days) after the occurrence of unprotected sex.,असुरक्षित संभोग क्रिया के बाद 72 घंटे (3 दिन) तक ही आपाती गर्भ निरोधकों का प्रयोग किया जा सकता है। ,आपातकालीन गर्भनिरोधक का उपयोग असुरक्षित सेक्स के होने के 72 घंटे (3 दिन) तक ही किया जा सकता है।,surprise,love,0.0391975045204162
"The Constitution, which provides for certain basic safeguards which have been called fundamental rights, also provides for a quick and inexpensive remedy for the enforcement of such rights.","हमारे संविधान में, जिसमें कुछ आधारभूत रक्षोपाय दिए गए हैं जिन्हें मूल अधिकार कहा गया है, इन अधिकारों के प्रवर्तन के लिए त्वरित एवं कमखर्च उपाय की व्यवस्था भी की गई है। ","संविधान, जिसमें कुछ बुनियादी सुरक्षा उपायों को शामिल किया गया है जिन्हें मौलिक अधिकार कहा जाता है, ऐसे अधिकारों के प्रवर्तन के लिए एक त्वरित और सस्ती उपाय भी प्रदान करता है।",surprise,surprise,0.459452211856842
HTML5 can be used to create all sorts of,HTML5 के सभी प्रकार बनाने के लिए इस्तेमाल किया जा सकता है ,HTML5 का उपयोग सभी प्रकार के बनाने के लिए किया जा सकता है,surprise,surprise,0.1517491638660431
agency,सबील,एजेंसी,surprise,surprise,0.1288050413131714
"Allah, there is no god except He. He will gather you to the Resurrection Day, there is no doubt in it. And who is truer in statement than Allah?",अल्लाह तो वही परवरदिगार है जिसके सिवा कोई क़ाबिले परस्तिश नहीं वह तुमको क़यामत के दिन जिसमें ज़रा भी शक नहीं ज़रूर इकट्ठा करेगा और ख़ुदा से बढ़कर बात में सच्चा कौन होगा,"अल्लाह ही है, उसके सिवा कोई पूज्य-प्रभु नहीं। वह तुम्हें क़ियामत के दिन तक इकट्ठा करेगा, जिसमें कोई संदेह नहीं। और अल्लाह से अधिक सत्य बात कौन बोल सकता है?",surprise,surprise,0.2641640305519104
market intermediary,विपणन बिचौलिया,बाजार मध्यस्थ,surprise,surprise,0.0014184117317199
The programme also witnessed the launch of two scholarship schemes – Saksham and Pragati.,इसी कार्यक्रम में दो छात्रवृत्ति योजनाओं—सक्षम एवं प्रगति—का भी शुभारंभ हुआ।,कार्यक्रम में दो छात्रवृत्ति योजनाओं - सख्म और प्रज्ञा की शुरुआत भी हुई।,surprise,sadness,0.0572474002838134
The customer should give an application to close an account.,ग्राहक को लेखा संवरण के लिए प्रत्र लिखना पढ़ता है। ,ग्राहक को खाता बंद करने के लिए आवेदन देना चाहिए।,surprise,surprise,0.1701206266880036
Network _ Game,संजाल खेल (_ G) ,नेटवर्क _ खेल,surprise,joy,0.1867565512657165
Nagpur district,नागपुर जिला,नागपुर जिला,surprise,surprise,0.4134605824947357
Reload,री-लोड @action,पुनः लोड करना,surprise,surprise,0.0695145428180694
Uterine rupture may be during curretage of uterus.,गर्भाश्य विदार गर्भाशय के क्यूरोटटेज के दौरान हो सकता है। ,गर्भाशय में कर्टेज होने के दौरान गर्भाशय का टूटना हो सकता है।,surprise,love,0.0870537310838698
Bamboos were used in the lawn of the resort.,रिसॉर्ट के लॉन में बांसों का उपयोग किया गया है। ,रिसॉर्ट के घास में बांस का इस्तेमाल किया गया था।,surprise,surprise,0.0881918668746948
"Under the Scheme, financial assistance between 75% to 85% of the project cost upto maximum of Rs. 8 lakh per idea / unit, provided to Business Incubators (BIs).","योजना के तहत रुपये की अधिकतम परियोजना लागत की वित्तीय सहायता से 85% से 75% के बीच। व्यापार इन्क्यूबेटरों (बीआईएस) के लिए प्रदान की जाती विचार/प्रति यूनिट 8 लाख,। भारतीय मानक ब्यूरो के भी रुपये का लाभ उठाने के पात्र हैं। ","इस योजना के तहत, बिजनेस इनक्यूबेटर (बीआई) को प्रदान की जाने वाली परियोजना की लागत का 75% से 85% तक अधिकतम 8 लाख रुपये प्रति आइडिया/यूनिट तक है।",surprise,surprise,0.0749299526214599
to asking for something in a pleading manner,विनातिपूर्वक कुछ माँगना,किसी चीज़ के लिए निवेदन करने के लिए,surprise,love,0.1144191026687622
This is an extraordinary case.,यह एक असाधारण घटना है। ,यह एक असाधारण मामला है।,surprise,surprise,0.0010318756103515
giant hornbill,विशालकाय होर्नबिल,विशाल हॉर्नबिल,surprise,anger,0.1901401877403259
"More and more countries are fighting back by requiring that tobacco packages graphically show the dangers of tobacco, as called for in the WHO Framework Convention on Tobacco Control.",विश्व स्वास्थ्य संगठन के फ्रेमवर्क कंवेंशन ऑन टोबैको कंट्रोल के अनुसार दुनियाभर के देश तम्बाकू के पैकेटों पर उससे होने वाले हानि दर्शाये जाने की लड़ाई लड़ रहे हैं। ,"अधिक से अधिक देश तंबाकू के पैकेज को तंबाकू के खतरों को ग्राफिक रूप से दिखाने की आवश्यकता के साथ प्रतिरोध कर रहे हैं, जैसा कि तंबाकू नियंत्रण पर डब्ल्यूएचओ के फ्रेमवर्क कन्वेंशन में कहा गया है।",surprise,surprise,0.1593515276908875
Only approved contractors have been allowed to bid for the contract.,ठेके के लिए बोली लगाने की आज्ञा सिर्फ अनुमोदित ठेकेदारों को ही दी गयी है। ,केवल अनुमोदित ठेकेदारों को अनुबंध के लिए बोली लगाने की अनुमति दी गई है।,surprise,surprise,0.5774840712547302
Tax capitalisation may be used as a form of assistance to the needy industries.,कर का पूंजीकरण जरुरतमंद उद्योगों को सहायता प्रदान करने का एक उपाय हो सकता है। ,कर पूंजीकरण का उपयोग जरूरतमंद उद्योगों को सहायता के रूप में किया जा सकता है।,surprise,love,0.1388467252254486
disorder,आकुलत्व,विकार,surprise,surprise,0.0759087800979614
cerement,प्रेत-पट,सरेमेंट,surprise,surprise,0.0085983872413635
Counterclockwise Right,घड़ी की विपरीत दिशा में दाएं,घड़ी के विपरीत दिशा में दाएं,surprise,surprise,0.0101888477802276
What is the matter with you? Why do you not help one another?,(अरे कमबख्तों) अब तुम्हें क्या होगा कि एक दूसरे की मदद नहीं करते,तुम लोगों को क्या हुआ कि एक दूसरे की मदद नहीं करते,surprise,surprise,0.3118207454681396
The Sutras could play that part once again in the fissured world of the modern thinker.,आधुनिक चिनतकों की मतविभाजित दुनिया में वे सूत्र एक बार फिर अपनी भूमिका निभा सकते हैं। ,आधुनिक विचारक की फटी दुनिया में सुत्रा एक बार फिर से उस भूमिका को निभा सकते हैं।,surprise,surprise,0.4137862920761108
Unsigned Number,à¤à¤¹à¤¸à¥à¤¤à¤¾à¤à¤¤à¤°à¤¿à¤¤ à¤¸à¤à¤à¥à¤¯à¤¾,हस्ताक्षरित संख्या,surprise,surprise,0.1608307957649231
"The Lion, king of the forest, was resting under a tree.",जंगल का राजा सिंह एक पेड के नीचे सुस्ता रहा था। ,"शेर, जंगल का राजा, एक पेड़ के नीचे आराम कर रहा था।",surprise,surprise,0.0204381048679351
uncoloured,निरङ्ग,रंगहीन,surprise,surprise,0.0316761434078217
Creating file layout,फ़ाइल ख़ाका का निर्माण,फ़ाइल लेआउट बनाना,surprise,surprise,0.1662186682224273
Open,खोलें (O) ,खुला,surprise,surprise,0.090086281299591
"but denied [them] and turned away,",मगर झुठलाया और (ईमान से) मुँह फेरा,किन्तु उसने झुठलाया और मुँह मोड़ा,surprise,fear,0.0401159524917602
There were no fire - engines within fifty miles.,आसपास पचास मील तक कहीं कोई आग बुझाने वाली मोटर थी ही नहीं। ,पचास मील के दायरे में कोई अग्निशमन इंजन नहीं था।,surprise,surprise,0.0128687024116516
The train ran off the tracks.,ट्रेन पटरी से उतर गई। ,ट्रेन रेलगाड़ी से भाग गई।,surprise,surprise,0.1263854503631591
A freeze in fresh farm jobs owing to over - employment and increasing inability of the non - farm sector in rural areas to absorb excess rural workforce have led to the teeming of manpower in urban areas.,अधिक रोजगार के कारण नए कृषि रोजगारों पर रोक तथा ग्रामीण इलाकों में अतिशय ग्रामीण कार्यबल को खपाने करने में गैर कृषि क्षेत्र की बढ़ती अक्षमता से शहरी इलाकों में जनशक्ति की बाढ़ सी आ गई है। ,अति-रोजगार के कारण कृषि नौकरियों में ठंड और ग्रामीण क्षेत्रों में गैर-कृषि क्षेत्र में अतिरिक्त ग्रामीण श्रमशक्ति को अवशोषित करने की बढ़ती अक्षमता ने शहरी क्षेत्रों में जनशक्ति की भीड़ पैदा कर दी है।,surprise,surprise,0.1994473338127136
Failed to load image information,छवि जानकारी लोड करने में असफल,छवि जानकारी लोड करने में विफल,surprise,surprise,0.1316940784454346
"They take India for granted, not realising that nothing can be taken for granted in this cataclysmic age, much less India which, though quiet on the surface, is shaken by all manner of forces and vital urges.","वह हिंदुसतान की बिल्कुल भी परवाह नहीं करते, वह यह नहीं समझते कि क्रांति के इस जमाने में किसी की भी अनदेखी नहीं की जा सकती, हिंदुस्तान की तो और भी नहीं क़्योंकि यह ऊपर से तो शांत दिखता है, लेकिन हर तरह की ताकतें और भावनाएं इसे भीतर ही भीतर झकझोर रही हैं. ","वे भारत को स्वभाविक मानते हैं, यह नहीं समझते कि इस विनाशकारी युग में कुछ भी स्वभाविक नहीं माना जा सकता, और भारत को भी नहीं, जो सतह पर शांत है, लेकिन सभी प्रकार के बल और महत्वपूर्ण आग्रहों से हिलाया जाता है।",surprise,surprise,0.0641497373580933
Pause,ठहरें,विराम,surprise,surprise,0.048426330089569
Australian,आस्ट्रेलियाई-भाषा,ऑस्ट्रेलियाई,surprise,surprise,0.0255759954452515
grasping,पकड़ाई,पकड़ना,surprise,surprise,0.0585710108280181
direct tax,प्रत्यक्ष कर/कराधान,प्रत्यक्ष कर,surprise,surprise,0.1033919751644134
In which they will remain forever; in it they will find neither a protector nor any supporter.,जिसमें वह हमेशा अबदल आबाद रहेंगे न किसी को अपना सरपरस्त पाएँगे न मद्दगार,वे उसमें सदैव रहेंगे। वे उसमें न तो कोई संरक्षक पाएँगे और न कोई सहायक,surprise,surprise,0.2909936308860779
"Some major rivers in Himalaya are Sindhu, Ganga, Brahmaputra and Yangtez.",हिमालय की कुछ प्रमुख नदियों में शामिल हैं-सिंधु गंगा ब्रम्हपुत्र और यांगतेज। ,"हिमालय में कुछ प्रमुख नदियां सिंधु, गंगा, ब्रह्मपुत्र और यांगटेज हैं।",surprise,surprise,0.1431770324707031
sycophantic,खुशामदी,सिकोफैंटिक,surprise,surprise,0.1249715089797973
"(Muhammad), tell them, ""It is all the same whether you call Him God or the Beneficent. All the good names belong to Him."" (Muhammad), do not be too loud or slow in your prayer. Choose a moderate way of praying.","कह दो, ""तुम अल्लाह को पुकारो या रहमान को पुकारो या जिस नाम से भी पुकारो, उसके लिए सब अच्छे ही नाम है।"" और अपनी नमाज़ न बहुत ऊँची आवाज़ से पढ़ो और न उसे बहुत चुपके से पढ़ो, बल्कि इन दोनों के बीच मध्य मार्ग अपनाओ","कह दो, ""तुम अल्लाह को पुकारते हो या रहमान, वही एक है। अच्छे नाम उसी के लिए है।"" न तो अपनी नमाज़ में ज़ोर से पुकारो और न धीमी-धीमी, और नमाज़ में मध्यम-मध्यम का पालन करो",surprise,surprise,0.2279926836490631
gnawing animal,कृंतक प्राणी,चबाने वाला पशु,surprise,surprise,0.0024189949035644
macerate,द्रवनिवेशन,मकर,surprise,surprise,0.0855233669281005
He had received rupees seven hundred and fifty for a film on Seva Sudan.,उन्हें सेवासदन पर एक फ़िल्म बनाने के लिए सात सौ पजास रूपये मिले थे। ,उन्हें सेवा सूडान पर एक फिल्म के लिए सात सौ पचास रुपये मिले थे।,surprise,love,0.6837538182735443
It will stand for a Federal Government for India as the ultimate goal but for a strong central government with dictatorial powers for some years to put India on her feet.,"चरम लक्ष्य के रूप में इसे भारत के लिए संघीय सरकार की ही पैरवी करनी होगी, लेकिन देश को स्वावलंबी बनाने के लिए कुछ वर्षों तक केंद्र में तानाशाही अधिकारों वाली शक़्तिशाली सरकार की अनिवार्यता भी समझ लेनी होगी. ",यह भारत के लिए एक संघीय सरकार के लिए अंतिम लक्ष्य के रूप में खड़ा होगा लेकिन कुछ वर्षों के लिए भारत को अपने पैरों पर रखने के लिए तानाशाही शक्तियों के साथ एक मजबूत केंद्र सरकार के लिए।,surprise,surprise,0.1024912595748901
"But those who have feared their Lord - for them are chambers, above them chambers built high, beneath which rivers flow. [This is] the promise of Allah. Allah does not fail in [His] promise.",जो आग में (पड़ा) हो मगर जो लोग अपने परवरदिगार से डरते रहे उनके ऊँचे-ऊँचे महल हैं (और) बाला ख़ानों पर बालाख़ाने बने हुए हैं जिनके नीचे नहरें जारी हैं ये खुदा का वायदा है (और) वायदा ख़िलाफी नहीं किया करता,और जिन लोगों ने अपने परवरदिगार से डर रखा उनके लिए (क़यामत में) बड़े बड़े (बेहिश्त के) अदन होंगे और उन पर (बेहिश्त के) बड़े बड़े (बेहिश्त के) अदन होंगे जिनके नीचे नहरें जारी हैं ख़ुदा का वायदा है और ख़ुदा अपने वायदे से कभी नाफ़रमान नहीं होता,fear,surprise,0.1468243300914764
"By way of this appeal, the appellant has assailed the judgment of conviction and order of sentence as bad in law on various grounds.","इस अपील के माध्यम से, अपीलार्थी ने दोषसिद्धि और दंडादेश के आदेश पर, उसके विभिन्न आधारों पर विधि की दृष्टि से दोषपूर्ण होने पर, अभ्याक्रमण किया है. ","इस अपील के माध्यम से, appellant ने विभिन्न आधारों पर दोषी ठहराव और सजा के आदेश को कानून में बुरा माना है।",surprise,surprise,0.2210949957370758
outdated,अप्रचरित,पुराना,surprise,anger,0.2657823115587234
"Points: 122 Year: July - September, 2008","अंक: 122 वर्ष: जुलाई-सितंबर, 2008","अंक: 122 वर्ष: जुलाई - सितंबर, 2008",surprise,surprise,0.0554924011230468
"It, however, said that it may not be advisable to provide for reservations in certain areas, e. g. in technical posts, re - search and development organisations, in specialities and super specialities in medicine, engineering and other such courses in physical sciences and mathematics, in defence services and connected establishments.","किंतु, इसमें कहा गया कि कतिपय क्षेत्रों के तकनीकी पदों, अनुसंधान तथा विकास संगठनों, चिकित्सा, इंजीनियरी और भौतिकी विज्ञानों तथा गणित के ऐसे ही अन्य पाठ्यक्रमों में विशेष अध्ययन या अति विशेष अध्ययन, तथा रक्षा सेवाओं से संबंधित प्रतिष्ठानों में आरक्षणों का उपबंध करना उचित नहीं होगा। ","हालांकि, इसमें कहा गया कि कुछ क्षेत्रों में आरक्षण की व्यवस्था करना उचित नहीं हो सकता है, जैसे तकनीकी पदों, अनुसंधान एवं विकास संगठनों, चिकित्सा, इंजीनियरिंग और भौतिक विज्ञान और गणित में अन्य पाठ्यक्रमों में, रक्षा सेवाओं और संबंधित प्रतिष्ठानों में।",surprise,surprise,0.1341524422168731
"but it will be ignored by the most unfortunate,",और बदबख्त उससे पहलू तही करेगा,और (ऐ रसूल) ग़ालिबों ने भी (इस पर) ग़ौर नहीं किया,surprise,sadness,0.2679055333137512
"all the rocks, then silicon, aluminum, iron, calcium, a bunch of stuff.","सभी चट्टानों, तो सिलिकॉन, एल्यूमीनियम, लोहा, कैल्शियम, सामान का एक गुच्छा. ","सभी चट्टानों, फिर सिलिकॉन, एल्यूमीनियम, लोहा, कैल्शियम, एक गुच्छा सामान.",surprise,surprise,0.2637966871261596
Technology is built not so much by individuals but by organizations.,प्रौद्योगिकी का निर्माण व्यक्तियों से कहीं अधिक संगठनों द्वारा किया जाता है। ,प्रौद्योगिकी का निर्माण व्यक्तियों द्वारा नहीं बल्कि संगठनों द्वारा किया जाता है।,surprise,surprise,0.4067605137825012
A process of straightening fractured bones by using wires or pins.,तार या पिन का उपयोग करके टूटी हुई हड्डियों को सीधी करने की एक प्रक्रिया. ,तारों या पिन्स का उपयोग करके टूटी हुई हड्डियों को सीधा करने की प्रक्रिया।,surprise,surprise,0.0392376780509948
It gives voice to the downtrodden and dispossessed.,यह दबे-कुचलों और वंचितों की आवाज है।,यह दलितों और वंचितों को आवाज देता है।,sadness,anger,0.0362083911895751
less than or whatever?,कम से कम या जो कुछ भी? ,कम या क्या?,surprise,surprise,0.0970586538314819
part that we 're subtracting from the other fraction part was smaller.,जिसको हम दूसरे अंश भाग से घटा रहे थे,भाग है कि हम अन्य अंश भाग से घटाने के लिए छोटे थे.,surprise,surprise,0.4102755188941955
Credit delivery through Micro Credit Organizations / Self Help Groups,माइक्रो ऋण संगठनों/स्वयं सहायता समूहों के माध्यम से ऋण सुपुर्दगी,सूक्ष्म ऋण संगठनों / स्व सहायता समूहों के माध्यम से ऋण वितरण,surprise,surprise,0.1116136312484741
"(As for) those who took the calf (for a god), surely wrath from their Lord and disgrace in this world 's life shall overtake them, and thus do We recompense the devisers of lies.",बेशक जिन लोगों ने बछड़े को (अपना माबूद) बना लिया उन पर अनक़रीब ही उनके परवरदिगार की तरफ से अज़ाब नाज़िल होगा और दुनियावी ज़िन्दगी में ज़िल्लत (उसके अलावा) और हम बोहतान बॉधने वालों की ऐसी ही सज़ा करते हैं,जिन लोगों ने बछड़ा को अपनाया तो उन पर उनके परवरदिगार का ग़ज़ब और सांसारिक ज़िन्दगी में रूसवाई आ पहुँचेगी और हम यूँ ही झूठ बोलने वालों को सज़ा देते हैं,anger,surprise,0.4230137467384338
"While toying with the idea of a table top version instead of existing floor based version, he realised that the design would become more complex to feed the cane at the exact height when used by various users","वर्तमान में उपलब्ध सतह आधारित मशीन के बदले, टेबल टॉप वर्जन पर अध्ययन के दौरान उन्हें महसूस हुआ कि जब इसे विभिन्न उपयोगकर्ताओं द्वारा प्रयोग में लाया जाएगा तो इसमें गन्ने डालने के क्रम में इसका उपयोग बहुत ही जटिल हो जाएगा। ","मौजूदा फर्श आधारित संस्करण के बजाय टेबल टॉप संस्करण के विचार से खिलवाड़ करते हुए, उन्हें एहसास हुआ कि विभिन्न उपयोगकर्ताओं द्वारा उपयोग किए जाने पर लाठी को सटीक ऊंचाई पर खिलाने के लिए डिजाइन अधिक जटिल हो जाएगा",surprise,surprise,0.291314423084259
Tar compressed with bzip2 (. tar. bz2),"टीएआर, बी-ज़िप2 के साथ संपीडित (. tar. bz2) ",bzip2 (. tar. bz2) के साथ संपीड़ित टार,surprise,surprise,0.0353405773639678
"They have no true respect of God when they say, ""God has not sent anything to a mortal being."" (Muhammad), tell them, ""Who revealed the Book containing a light and guidance for the people which Moses brought? You wrote down only some parts of the original on paper and hid much, even after having learnt from it, that which neither you nor your fathers knew."" Tell them, ""God has (revealed the Quran),"" and then leave them alone to pursue their useless investigations.",और बस और उन लोगों (यहूद) ने ख़ुदा की जैसी क़दर करनी चाहिए न की इसलिए कि उन लोगों ने (बेहूदे पन से) ये कह दिया कि ख़ुदा ने किसी बशर (इनसान) पर कुछ नाज़िल नहीं किया (ऐ रसूल) तुम पूछो तो कि फिर वह किताब जिसे मूसा लेकर आए थे किसने नाज़िल की जो लोगों के लिए रौशनी और (अज़सरतापा (सर से पैर तक)) हिदायत (थी जिसे तुम लोगों ने अलग-अलग करके काग़जी औराक़ (कागज़ के पन्ने) बना डाला और इसमें को कुछ हिस्सा (जो तुम्हारे मतलब का है वह) तो ज़ाहिर करते हो और बहुतेरे को (जो ख़िलाफ मदआ है) छिपाते हो हालॉकि उसी किताब के ज़रिए से तुम्हें वो बातें सिखायी गयी जिन्हें न तुम जानते थे और न तुम्हारे बाप दादा (ऐ रसूल वह तो जवाब देगें नहीं) तुम ही कह दो कि ख़ुदा ने (नाज़िल फरमाई) ,और ये लोग ख़ुदा से बिल्कुल भी डरते नहीं हैं जब ये लोग कहते हैं कि ख़ुदा ने किसी आदमी पर कुछ नाज़िल नहीं किया (ऐ रसूल) तुम कह दो कि किसने उन लोगों के लिए किताब नाज़िल की थी जो मूसा ने उनके पास लायी थी (और) उसमें (आख़िर) नूर और हिदायत थी (और) तुम ने (अपना) फर्जी वक़्त का कुछ हिस्सा कागज़ पर लिख दिया और (अपना) कुछ (अपना) सीखा था मगर बहुत कुछ छिपा रखा था जो न तुम जानते थे और न तुम्हारे बाप दादा,surprise,surprise,0.0808483958244323
Ajay Maken,अजय माकन,अजय मेकेन,joy,surprise,0.2333689928054809
To them they are a symbol of status and security.,उनके लिए वे सम्मान और सुरक्ष्ज्ञज्ञ के प्रतीक हैं। ,उनके लिए वे स्थिति और सुरक्षा का प्रतीक हैं।,surprise,surprise,0.1125492751598358
Herbalife,हर्बालाइफ ,हर्बालिफ,surprise,surprise,0.0125726163387298
Europe / Kiev,यूरोप/केव,यूरोप / कीव,surprise,surprise,0.0666047632694245
"Before dealing with the arguments advanced by the counsel for the parties, it would be appropriate to set out the nature of the controversy and it cannot be better demonstrated than by visually depicting the same.","पक्षकारों के वकील के तर्कों के साथ निपटने से पहले, विवाद की प्रकृति का वर्णन करना उपयुक्त होगा और इसका प्रदर्शन उसी का दृष्टिगत रूप से चित्रण करने से बेहतर नहीं किया जा सकता है. ","पक्षों के लिए वकील द्वारा प्रस्तुत दलीलों से निपटने से पहले, विवाद की प्रकृति को स्पष्ट करना उचित होगा और इसे दृश्य रूप से चित्रित करने से बेहतर प्रदर्शन नहीं किया जा सकता है।",surprise,surprise,0.2582495212554932
Life is hard hi the rural areas.,ग्रामीण क्षेत्रों में लोगों को कठोर जीवन जीना होता है। ,ग्रामीण इलाकों में जीवन कठिन है।,surprise,surprise,0.0925379395484924
Vermiform is also called as lumbrical.,कृम्याकार को लम्ब्रीकल भी कहा जाता है. ,वर्मीफॉर्म को लम्ब्रिकल भी कहा जाता है।,surprise,surprise,0.1277362406253814
