Original_English,Original_Hindi,Translated_Text,Input_Emotion,Translated_Emotion,Confidence_Deviation
and then fill in the box where your market would go.,और उसके बाद जहां आपके बाजार जाना होता तो बॉक्स में भरें। ,और फिर जहां अपने बाजार जाना होगा बॉक्स में भरें.,surprise,surprise,0.09377989172935486
Sterilisation,विसंक्रमण,स्टिललाइजेशन,surprise,surprise,0.12821891903877258
"Terrorists are not stupid; focusing on Arabs, as Smerconish urges, will prompt them to turn to non - Arab operatives. This is already a concern. Jean - Louis Bruguière, the leading French anti - terrorist investigating judge, warned along these lines in May 2003, recounts Robert Leiken, that “al - Qaida had stepped up its European recruiting efforts and was on the lookout for women and light - skinned converts in particular. ” The deputy director of a French intelligence agency, the Direction de la Surveillance du Territoire, even told Mr. Leiken that “converts are our most critical work now. ” < s > Smerconish responds to my argument by acknowledging that his book may at some point become obsolete, “but that day is not today. ” He sees physical appearance remaining a key predictor of intentions.",फिलाडेल्फिया डेली न्यूज़ के स्तंभकार और रेडियो टॉक शो के मेजबान माईकल ए. स्मरकोनिश ने अपनी नई और साहसी पुस्तक Flying Blind: How Political Correctness Continues to Compromise Airline Safety Post 9/11. में लिखा है कि प्रमुख तत्व नस्ल है. इसके विपरीत मेरा मानना है कि मुख्य बाहरी तत्व नहीं है वरन् यह है कि व्यक्ति के मस्तिष्क में क्या है जिसे इस्लामवादी आस्था कह सकते हैं. ,"यह पहले ही एक चिन्ता है कि फ्रांस के विरोधी - विरोधी न्यायाधीश, डॉ. एम. ए. डी. ए. ए. ए. डी. ए.",surprise,surprise,0.013385355472564697
"I wish you all the very best. Let me conclude in the words of Confucius: ""Education breeds confidence. Confidence breeds hope. Hope breeds peace”.","मैं कन्फूसियस के शब्दों से अपनी बात समाप्त करता हूं, ‘शिक्षा से विश्वास पैदा होता है,विश्वास से उम्मीद पैदा होती है, उम्मीद से शांति पैदा होती है।’","मैं आप सब सबसे अच्छा चाहते हैं. मुझे Cascutius के शब्दों में निष्कर्ष निकालना है: ""संयोगी भरोसा पैदा करता है. भरोसा पैदा करने की आशा है. आशाएं शांति पैदा करती हैं. """,joy,joy,0.15638935565948486
No Title,कोई शीर्षक नहीं,कोई शीर्षक नहीं,surprise,surprise,0.19771313667297363
Select,चुनें,चुनें,surprise,surprise,0.03181356191635132
Dark Gray,गाढ़ा धूसर,गाढ़ा धूसर,sadness,sadness,0.030649632215499878
preserve,संभालना,संरक्षित,surprise,surprise,0.2405053079128266
It 's been my observation that most people get ahead during the time that others waste.,मैंने देखा है कि ज्यादातर लोग उस समय आगे निकल जाते हैं जब दूसरे समय को बरबाद कर रहे होते हैं। ,यह मेरी बात है कि अधिकांश लोग उस समय के दौरान आगे बढ़ रहे हैं जब दूसरे बर्बाद करते हैं.,surprise,surprise,0.15680661797523499
Emergency contraception can be use only up to 72 hours (3days) after the occurrence of unprotected sex.,असुरक्षित संभोग क्रिया के बाद 72 घंटे (3 दिन) तक ही आपाती गर्भ निरोधकों का प्रयोग किया जा सकता है। ,गर्भनिरोधक लैंगिक संबंध की उपस्थिति के बाद केवल ७२ घंटे (३ दिन) का प्रयोग किया जा सकता है ।,surprise,love,0.03919750452041626
"The Constitution, which provides for certain basic safeguards which have been called fundamental rights, also provides for a quick and inexpensive remedy for the enforcement of such rights.","हमारे संविधान में, जिसमें कुछ आधारभूत रक्षोपाय दिए गए हैं जिन्हें मूल अधिकार कहा गया है, इन अधिकारों के प्रवर्तन के लिए त्वरित एवं कमखर्च उपाय की व्यवस्था भी की गई है। ","इसके अलावा, इस तरह के अधिकारों की साफ - सफाई के लिए फौरन और ज़्यादा - से - ज़्यादा सामान देना भी ज़रूरी होता है ।",surprise,surprise,0.45945221185684204
HTML5 can be used to create all sorts of,HTML5 के सभी प्रकार बनाने के लिए इस्तेमाल किया जा सकता है ,एचटीएमएल5 का उपयोग सभी किस्म का बनाने के लिए किया जा सकता है,surprise,surprise,0.15174916386604315
agency,सबील,व्यक्तिचित्रित करें (_E),surprise,surprise,0.1288050413131714
"Allah, there is no god except He. He will gather you to the Resurrection Day, there is no doubt in it. And who is truer in statement than Allah?",अल्लाह तो वही परवरदिगार है जिसके सिवा कोई क़ाबिले परस्तिश नहीं वह तुमको क़यामत के दिन जिसमें ज़रा भी शक नहीं ज़रूर इकट्ठा करेगा और ख़ुदा से बढ़कर बात में सच्चा कौन होगा,अल्लाह तो वही परवरदिगार है जिसके सिवा कोई क़ाबिले परस्तिश नहीं वह तुमको क़यामत के दिन जिसमें ज़रा भी शक नहीं ज़रूर इकट्ठा करेगा और ख़ुदा से बढ़कर बात में सच्चा कौन होगा,surprise,surprise,0.2641640305519104
market intermediary,विपणन बिचौलिया,बाज़ार में एक - दूसरे का भेद - भाव,surprise,surprise,0.0014184117317199707
The programme also witnessed the launch of two scholarship schemes – Saksham and Pragati.,इसी कार्यक्रम में दो छात्रवृत्ति योजनाओं—सक्षम एवं प्रगति—का भी शुभारंभ हुआ।,कार्यक्रम ने दो ज्ञानात्मक योजनाओं के लांच को भी देखा - सार्कम और प्रगाली ।,surprise,sadness,0.05724740028381348
The customer should give an application to close an account.,ग्राहक को लेखा संवरण के लिए प्रत्र लिखना पढ़ता है। ,ग्राहक को एक खाते को बंद करने के लिए एक अनुप्रयोग देना चाहिए.,surprise,surprise,0.1701206266880036
Network _ Game,संजाल खेल (_ G) ,नेटवर्क खेल (_G),surprise,joy,0.18675655126571655
Nagpur district,नागपुर जिला,Nghanu. kgm,surprise,surprise,0.4134605824947357
Reload,री-लोड @action,री-लोड,surprise,surprise,0.06951454281806946
Uterine rupture may be during curretage of uterus.,गर्भाश्य विदार गर्भाशय के क्यूरोटटेज के दौरान हो सकता है। ,"जब बच्चे को दूध से निकाला जाता है, तो उसके शरीर में खून की कमी हो सकती है ।",surprise,love,0.08705373108386988
Bamboos were used in the lawn of the resort.,रिसॉर्ट के लॉन में बांसों का उपयोग किया गया है। ,मार्ग के मैदान में बाब्बों का इस्तेमाल किया जाता था ।,surprise,surprise,0.08819186687469482
"Under the Scheme, financial assistance between 75% to 85% of the project cost upto maximum of Rs. 8 lakh per idea / unit, provided to Business Incubators (BIs).","योजना के तहत रुपये की अधिकतम परियोजना लागत की वित्तीय सहायता से 85% से 75% के बीच। व्यापार इन्क्यूबेटरों (बीआईएस) के लिए प्रदान की जाती विचार/प्रति यूनिट 8 लाख,। भारतीय मानक ब्यूरो के भी रुपये का लाभ उठाने के पात्र हैं। ","योजना के तहत, परियोजना के 75% से 85 प्रतिशत के बीच आर्थिक सहायता आर.",surprise,surprise,0.07492995262145996
to asking for something in a pleading manner,विनातिपूर्वक कुछ माँगना,बिनती करने के ढंग से कुछ माँगने के लिए,surprise,love,0.11441910266876221
This is an extraordinary case.,यह एक असाधारण घटना है। ,यह एक असाधारण मामला है ।,surprise,surprise,0.0010318756103515625
giant hornbill,विशालकाय होर्नबिल,विशाल सींगबाल,surprise,anger,0.19014018774032593
"More and more countries are fighting back by requiring that tobacco packages graphically show the dangers of tobacco, as called for in the WHO Framework Convention on Tobacco Control.",विश्व स्वास्थ्य संगठन के फ्रेमवर्क कंवेंशन ऑन टोबैको कंट्रोल के अनुसार दुनियाभर के देश तम्बाकू के पैकेटों पर उससे होने वाले हानि दर्शाये जाने की लड़ाई लड़ रहे हैं। ,तंबाकू के बारे में ज़्यादा - से - ज़्यादा देशों में यह माँग की जाती है कि तंबाकू के खतरों को देखे ।,surprise,surprise,0.1593515276908875
Only approved contractors have been allowed to bid for the contract.,ठेके के लिए बोली लगाने की आज्ञा सिर्फ अनुमोदित ठेकेदारों को ही दी गयी है। ,केवल अनुबंध के लिए कहने के लिए स्वीकार्य निर्माता की अनुमति दी गई है.,surprise,surprise,0.5774840712547302
Tax capitalisation may be used as a form of assistance to the needy industries.,कर का पूंजीकरण जरुरतमंद उद्योगों को सहायता प्रदान करने का एक उपाय हो सकता है। ,इस तरह की राजधानी को गरीबों की मदद करने के लिए इस्तेमाल किया जा सकता है ।,surprise,love,0.1388467252254486
disorder,आकुलत्व,विकार,surprise,surprise,0.07590878009796143
cerement,प्रेत-पट,यू. एस.,surprise,surprise,0.008598387241363525
Counterclockwise Right,घड़ी की विपरीत दिशा में दाएं,घड़ी की विपरीत दिशा में दाएं,surprise,surprise,0.010188847780227606
What is the matter with you? Why do you not help one another?,(अरे कमबख्तों) अब तुम्हें क्या होगा कि एक दूसरे की मदद नहीं करते,(अरे कमबख्तों) अब तुम्हें क्या होगा कि एक दूसरे की मदद नहीं करते,surprise,surprise,0.31182074546813965
The Sutras could play that part once again in the fissured world of the modern thinker.,आधुनिक चिनतकों की मतविभाजित दुनिया में वे सूत्र एक बार फिर अपनी भूमिका निभा सकते हैं। ,आज के ज़माने की दुनिया में एक बार फिर यह भाग खेल सकता है ।,surprise,surprise,0.41378629207611084
Unsigned Number,à¤à¤¹à¤¸à¥à¤¤à¤¾à¤à¤¤à¤°à¤¿à¤¤ à¤¸à¤à¤à¥à¤¯à¤¾,अहस्ताक्षरित संख्या,surprise,surprise,0.16083079576492315
"The Lion, king of the forest, was resting under a tree.",जंगल का राजा सिंह एक पेड के नीचे सुस्ता रहा था। ,"जंगल का राजा, सिंह पेड़ के नीचे सो रहा था ।",surprise,surprise,0.020438104867935125
uncoloured,निरङ्ग,अ-रंग,surprise,surprise,0.03167614340782171
Creating file layout,फ़ाइल ख़ाका का निर्माण,फ़ाइल ख़ाका का निर्माण,surprise,surprise,0.16621866822242737
Open,खोलें (O) ,खोलें,surprise,surprise,0.09008628129959106
"but denied [them] and turned away,",मगर झुठलाया और (ईमान से) मुँह फेरा,मगर झुठलाया और (ईमान से) मुँह फेरा,surprise,fear,0.040115952491760254
There were no fire - engines within fifty miles.,आसपास पचास मील तक कहीं कोई आग बुझाने वाली मोटर थी ही नहीं। ,पचास मील के भीतर कोई अग्नि - इंजन नहीं था ।,surprise,surprise,0.012868702411651611
The train ran off the tracks.,ट्रेन पटरी से उतर गई। ,ट्रेन रास्ते से भाग गयी ।,surprise,surprise,0.12638545036315918
A freeze in fresh farm jobs owing to over - employment and increasing inability of the non - farm sector in rural areas to absorb excess rural workforce have led to the teeming of manpower in urban areas.,अधिक रोजगार के कारण नए कृषि रोजगारों पर रोक तथा ग्रामीण इलाकों में अतिशय ग्रामीण कार्यबल को खपाने करने में गैर कृषि क्षेत्र की बढ़ती अक्षमता से शहरी इलाकों में जनशक्ति की बाढ़ सी आ गई है। ,"इन इलाकों में बहुत - से लोगों की ज़िंदगी में बदलाव आया है, इसलिए यहाँ के इलाकों में लोगों की गिनती बढ़ती जा रही है ।",surprise,surprise,0.19944733381271362
Failed to load image information,छवि जानकारी लोड करने में असफल,छवि जानकारी लोड करने में विफल,surprise,surprise,0.13169407844543463
"They take India for granted, not realising that nothing can be taken for granted in this cataclysmic age, much less India which, though quiet on the surface, is shaken by all manner of forces and vital urges.","वह हिंदुसतान की बिल्कुल भी परवाह नहीं करते, वह यह नहीं समझते कि क्रांति के इस जमाने में किसी की भी अनदेखी नहीं की जा सकती, हिंदुस्तान की तो और भी नहीं क़्योंकि यह ऊपर से तो शांत दिखता है, लेकिन हर तरह की ताकतें और भावनाएं इसे भीतर ही भीतर झकझोर रही हैं. ","वे भारत के लिए प्रदान करने के लिए लेते हैं, यह स्वीकार नहीं करते कि इस भयंकर युग में कुछ भी नहीं लिया जा सकता, भारत जो, चाहे सतह पर शांत है, सभी प्रकार की शक्‍तियों और अत्यावश्‍यक आग्रहों द्वारा हिल जाता है ।",surprise,surprise,0.06414973735809337
Pause,ठहरें,ठहरें,surprise,surprise,0.04842633008956909
Australian,आस्ट्रेलियाई-भाषा,ऑस्ट्रेलियाई,surprise,surprise,0.02557599544525152
grasping,पकड़ाई,समझ रहे,surprise,surprise,0.05857101082801813
direct tax,प्रत्यक्ष कर/कराधान,सीधा कर,surprise,surprise,0.10339197516441345
In which they will remain forever; in it they will find neither a protector nor any supporter.,जिसमें वह हमेशा अबदल आबाद रहेंगे न किसी को अपना सरपरस्त पाएँगे न मद्दगार,जिसमें वह हमेशा अबदल आबाद रहेंगे न किसी को अपना सरपरस्त पाएँगे न मद्दगार,surprise,surprise,0.2909936308860779
"Some major rivers in Himalaya are Sindhu, Ganga, Brahmaputra and Yangtez.",हिमालय की कुछ प्रमुख नदियों में शामिल हैं-सिंधु गंगा ब्रम्हपुत्र और यांगतेज। ,"हेरायाया में कुछ बड़ी नदियाँ हैं, रामीका, मोराआ और यांगिस ।",surprise,surprise,0.14317703247070312
sycophantic,खुशामदी,लक्षणिक,surprise,surprise,0.12497150897979736
"(Muhammad), tell them, ""It is all the same whether you call Him God or the Beneficent. All the good names belong to Him."" (Muhammad), do not be too loud or slow in your prayer. Choose a moderate way of praying.","कह दो, ""तुम अल्लाह को पुकारो या रहमान को पुकारो या जिस नाम से भी पुकारो, उसके लिए सब अच्छे ही नाम है।"" और अपनी नमाज़ न बहुत ऊँची आवाज़ से पढ़ो और न उसे बहुत चुपके से पढ़ो, बल्कि इन दोनों के बीच मध्य मार्ग अपनाओ","कह दो, ""तुम अल्लाह को पुकारो या रहमान को पुकारो या जिस नाम से भी पुकारो, उसके लिए सब अच्छे ही नाम है।"" और अपनी नमाज़ न बहुत ऊँची आवाज़ से पढ़ो और न उसे बहुत चुपके से पढ़ो, बल्कि इन दोनों के बीच मध्य मार्ग अपनाओ",surprise,surprise,0.22799268364906317
gnawing animal,कृंतक प्राणी,पशुओं को फाड़ना,surprise,surprise,0.002418994903564453
macerate,द्रवनिवेशन,गति,surprise,surprise,0.08552336692810059
He had received rupees seven hundred and fifty for a film on Seva Sudan.,उन्हें सेवासदन पर एक फ़िल्म बनाने के लिए सात सौ पजास रूपये मिले थे। ,"उसे सात सौ पचास रुपए हो गए थे, जो सिलवे नाम के एक फिल्म के लिए थे ।",surprise,love,0.6837538182735443
It will stand for a Federal Government for India as the ultimate goal but for a strong central government with dictatorial powers for some years to put India on her feet.,"चरम लक्ष्य के रूप में इसे भारत के लिए संघीय सरकार की ही पैरवी करनी होगी, लेकिन देश को स्वावलंबी बनाने के लिए कुछ वर्षों तक केंद्र में तानाशाही अधिकारों वाली शक़्तिशाली सरकार की अनिवार्यता भी समझ लेनी होगी. ",यह भारत के लिए एक फेडरल सरकार का मुख्य लक्ष्य के रूप में खड़ा होगा...... लेकिन कुछ साल तक भारत को अपने पैरों पर रखने के लिए एक मजबूत केंद्रीय सरकार के लिए।,surprise,surprise,0.10249125957489019
"But those who have feared their Lord - for them are chambers, above them chambers built high, beneath which rivers flow. [This is] the promise of Allah. Allah does not fail in [His] promise.",जो आग में (पड़ा) हो मगर जो लोग अपने परवरदिगार से डरते रहे उनके ऊँचे-ऊँचे महल हैं (और) बाला ख़ानों पर बालाख़ाने बने हुए हैं जिनके नीचे नहरें जारी हैं ये खुदा का वायदा है (और) वायदा ख़िलाफी नहीं किया करता,"अलबत्ता जो लोग अपने रब से डरकर रहे उनके लिए ऊपरी मंज़िल पर कक्ष होंगे, जिनके ऊपर भी निर्मित कक्ष होंगे। उनके नीचे नहरें बह रही होगी। यह अल्लाह का वादा है। अल्लाह अपने वादे का उल्लंघन नहीं करता",fear,surprise,0.14682433009147644
"By way of this appeal, the appellant has assailed the judgment of conviction and order of sentence as bad in law on various grounds.","इस अपील के माध्यम से, अपीलार्थी ने दोषसिद्धि और दंडादेश के आदेश पर, उसके विभिन्न आधारों पर विधि की दृष्टि से दोषपूर्ण होने पर, अभ्याक्रमण किया है. ","इस अपील के ज़रिए, इस निवेदन ने विभिन्‍न आधार पर विश्‍वास और विधि के निर्णय को हानि पहुँचाया है ।",surprise,surprise,0.2210949957370758
outdated,अप्रचरित,पुराना,surprise,anger,0.26578231155872345
"Points: 122 Year: July - September, 2008","अंक: 122 वर्ष: जुलाई-सितंबर, 2008","अंक: 122 साल: जुलाई - सितंबर, 2008",surprise,surprise,0.055492401123046875
"It, however, said that it may not be advisable to provide for reservations in certain areas, e. g. in technical posts, re - search and development organisations, in specialities and super specialities in medicine, engineering and other such courses in physical sciences and mathematics, in defence services and connected establishments.","किंतु, इसमें कहा गया कि कतिपय क्षेत्रों के तकनीकी पदों, अनुसंधान तथा विकास संगठनों, चिकित्सा, इंजीनियरी और भौतिकी विज्ञानों तथा गणित के ऐसे ही अन्य पाठ्यक्रमों में विशेष अध्ययन या अति विशेष अध्ययन, तथा रक्षा सेवाओं से संबंधित प्रतिष्ठानों में आरक्षणों का उपबंध करना उचित नहीं होगा। ","लेकिन, यह भी कहा गया कि कुछ क्षेत्रों में, जैसे कि तकनीकी पोस्टों में, खोज - पड़ताल और विकास विभागों में, चिकित्सा में ख़ास कमी, इंजीनियरिंग, गणित और गणित - संबंधी सेवाओं में ऐसे अन्य कोर्सों का प्रबन्ध करना उपयुक्‍त नहीं हो सकता ।",surprise,surprise,0.13415244221687317
"but it will be ignored by the most unfortunate,",और बदबख्त उससे पहलू तही करेगा,"किन्तु उससे कतराएगा वह अत्यन्त दुर्भाग्यवाला,",surprise,sadness,0.2679055333137512
"all the rocks, then silicon, aluminum, iron, calcium, a bunch of stuff.","सभी चट्टानों, तो सिलिकॉन, एल्यूमीनियम, लोहा, कैल्शियम, सामान का एक गुच्छा. ","सभी चट्टानों, फिर सिलिकॉन, लोहे, खनिज, सामान का एक गुच्छा.",surprise,surprise,0.26379668712615967
Technology is built not so much by individuals but by organizations.,प्रौद्योगिकी का निर्माण व्यक्तियों से कहीं अधिक संगठनों द्वारा किया जाता है। ,इस तरह की तकनीकों का निर्माण किसी इंसान ने नहीं किया बल्कि संगठन के ज़रिए किया है ।,surprise,surprise,0.4067605137825012
A process of straightening fractured bones by using wires or pins.,तार या पिन का उपयोग करके टूटी हुई हड्डियों को सीधी करने की एक प्रक्रिया. ,तार या पिनों का प्रयोग करके ठीक करने की प्रक्रिया ।,surprise,surprise,0.03923767805099487
It gives voice to the downtrodden and dispossessed.,यह दबे-कुचलों और वंचितों की आवाज है।,यह उत्पीड़ितों और देश - विदेशियों को आवाज़ देता है ।,sadness,anger,0.036208391189575195
less than or whatever?,कम से कम या जो कुछ भी? ,इससे कम या जो कुछ?,surprise,surprise,0.09705865383148193
part that we 're subtracting from the other fraction part was smaller.,जिसको हम दूसरे अंश भाग से घटा रहे थे,हिस्सा है कि हम अन्य भिन्न भाग से घटा रहे हैं।,surprise,surprise,0.41027551889419556
Credit delivery through Micro Credit Organizations / Self Help Groups,माइक्रो ऋण संगठनों/स्वयं सहायता समूहों के माध्यम से ऋण सुपुर्दगी,एस. ए. ए.,surprise,surprise,0.11161363124847412
"(As for) those who took the calf (for a god), surely wrath from their Lord and disgrace in this world 's life shall overtake them, and thus do We recompense the devisers of lies.",बेशक जिन लोगों ने बछड़े को (अपना माबूद) बना लिया उन पर अनक़रीब ही उनके परवरदिगार की तरफ से अज़ाब नाज़िल होगा और दुनियावी ज़िन्दगी में ज़िल्लत (उसके अलावा) और हम बोहतान बॉधने वालों की ऐसी ही सज़ा करते हैं,बेशक जिन लोगों ने बछड़े को (अपना माबूद) बना लिया उन पर अनक़रीब ही उनके परवरदिगार की तरफ से अज़ाब नाज़िल होगा और दुनियावी ज़िन्दगी में ज़िल्लत (उसके अलावा) और हम बोहतान बॉधने वालों की ऐसी ही सज़ा करते हैं,anger,surprise,0.42301374673843384
"While toying with the idea of a table top version instead of existing floor based version, he realised that the design would become more complex to feed the cane at the exact height when used by various users","वर्तमान में उपलब्ध सतह आधारित मशीन के बदले, टेबल टॉप वर्जन पर अध्ययन के दौरान उन्हें महसूस हुआ कि जब इसे विभिन्न उपयोगकर्ताओं द्वारा प्रयोग में लाया जाएगा तो इसमें गन्ने डालने के क्रम में इसका उपयोग बहुत ही जटिल हो जाएगा। ","मौजूदा मंजिल आधारित संस्करण के बजाय एक मेज़ के शीर्ष संस्करण के विचार के साथ मुलाकात करने के दौरान, उसे एहसास हुआ कि डिजाइन, विविध उपयोक्ताओं द्वारा इस्तेमाल किए गए सटीक ऊंचाई को खिलाने के लिए अधिक जटिल हो जाएगा",surprise,surprise,0.29131442308425903
Tar compressed with bzip2 (. tar. bz2),"टीएआर, बी-ज़िप2 के साथ संपीडित (. tar. bz2) ","टीएआर, बी-ज़िप2 के साथ संपीडित (.tar.bz2)",surprise,surprise,0.03534057736396784
"They have no true respect of God when they say, ""God has not sent anything to a mortal being."" (Muhammad), tell them, ""Who revealed the Book containing a light and guidance for the people which Moses brought? You wrote down only some parts of the original on paper and hid much, even after having learnt from it, that which neither you nor your fathers knew."" Tell them, ""God has (revealed the Quran),"" and then leave them alone to pursue their useless investigations.",और बस और उन लोगों (यहूद) ने ख़ुदा की जैसी क़दर करनी चाहिए न की इसलिए कि उन लोगों ने (बेहूदे पन से) ये कह दिया कि ख़ुदा ने किसी बशर (इनसान) पर कुछ नाज़िल नहीं किया (ऐ रसूल) तुम पूछो तो कि फिर वह किताब जिसे मूसा लेकर आए थे किसने नाज़िल की जो लोगों के लिए रौशनी और (अज़सरतापा (सर से पैर तक)) हिदायत (थी जिसे तुम लोगों ने अलग-अलग करके काग़जी औराक़ (कागज़ के पन्ने) बना डाला और इसमें को कुछ हिस्सा (जो तुम्हारे मतलब का है वह) तो ज़ाहिर करते हो और बहुतेरे को (जो ख़िलाफ मदआ है) छिपाते हो हालॉकि उसी किताब के ज़रिए से तुम्हें वो बातें सिखायी गयी जिन्हें न तुम जानते थे और न तुम्हारे बाप दादा (ऐ रसूल वह तो जवाब देगें नहीं) तुम ही कह दो कि ख़ुदा ने (नाज़िल फरमाई) ,"उन्होंने अल्लाह की क़द्र न जानी, जैसी उसकी क़द्र जाननी चाहिए थी, जबकि उन्होंने कहा, ""अल्लाह ने किसी मनुष्य पर कुछ अवतरित ही नहीं किया है।"" कहो, ""फिर यह किताब किसने अवतरित की, जो मूसा लोगों के लिए प्रकाश और मार्गदर्शन के रूप में लाया था, जिसे तुम पन्ना-नहस करके रखते हो? उन्हें दिखाते भी हो, परन्तु बहुत-सा छिपा जाते हो। और तुम्हें वह ज्ञान दिया गया, जिसे न तुम जानते थे और न तुम्हारे बाप-दादा ही।"" कह दो, ""अल्लाह ही ने,"" फिर उन्हें छोड़ो कि वे अपनी नुक्ताचीनियों से खेलते रहें",surprise,surprise,0.08084839582443237
Ajay Maken,अजय माकन,अजाय मेकnorway. kgm,joy,surprise,0.23336899280548096
To them they are a symbol of status and security.,उनके लिए वे सम्मान और सुरक्ष्ज्ञज्ञ के प्रतीक हैं। ,वे उनके लिए स्थिति और सुरक्षा का प्रतीक हैं ।,surprise,surprise,0.11254927515983582
Herbalife,हर्बालाइफ ,हरबा जीवन,surprise,surprise,0.012572616338729858
Europe / Kiev,यूरोप/केव,यूरोप/ कीव,surprise,surprise,0.0666047632694245
"Before dealing with the arguments advanced by the counsel for the parties, it would be appropriate to set out the nature of the controversy and it cannot be better demonstrated than by visually depicting the same.","पक्षकारों के वकील के तर्कों के साथ निपटने से पहले, विवाद की प्रकृति का वर्णन करना उपयुक्त होगा और इसका प्रदर्शन उसी का दृष्टिगत रूप से चित्रण करने से बेहतर नहीं किया जा सकता है. ","पार्टी के लिए दी गयी सलाह के आगे बढ़ने से पहले, विवाद का स्वरूप निकालना उचित होगा और यह एक ही चित्र को चित्रित करने के द्वारा बेहतर नहीं साबित किया जा सकता ।",surprise,surprise,0.2582495212554932
Life is hard hi the rural areas.,ग्रामीण क्षेत्रों में लोगों को कठोर जीवन जीना होता है। ,यहाँ के गाँवों में ज़िंदगी बहुत मुश्‍किल होती है ।,surprise,surprise,0.09253793954849249
Vermiform is also called as lumbrical.,कृम्याकार को लम्ब्रीकल भी कहा जाता है. ,वर्मिम्प को एलब्रोब्रोरो भी कहा जाता है ।,surprise,surprise,0.12773624062538147
penetration,ज्ञान,पेन्सन,surprise,surprise,0.13746881484985352
"If I have $2, that 's less than $5, or $5 is greater than $2.","अगर मेरे पास $2 हैं, जो $5 से छोटे हैं, या $5 बड़े हैं $2 से ","यदि मेरे पास $5 से कम है, या $5 डॉलर से बड़ा है $5 अधिक है.",surprise,surprise,0.00222662091255188
"Karnataka has an impressive record in attracting and retaining Foreign Direct Investments (FDI), especially in the realm of industrial investments.","कर्नाटक में प्रत्य क्ष विदेशी निवेश (एफडीआई) को आकर्षित तथा धारित करने का एक प्रभावशाली रिकॉर्ड रहा है, ","कोनाका को आकर्षित करने और विदेशी सीधे निर्देशों को बनाए रखने में एक प्रभावशाली अभिलेख है, ख़ासकर औद्योगिक निवेशों के क्षेत्र में ।",surprise,surprise,0.10017493367195124
Set Secondary Event Type,à¤¨à¤¯à¤¾% 1,द्वितीयक घटना क़िस्म सेट करें,surprise,surprise,0.3898000717163086
Tissue culture and orchid units,ऊतक संवर्धन और ऑर्किड इकाइयां,टस्किकल संस्कृति तथा अभिलेखक इकाई,surprise,surprise,0.06750592589378362
international financial centre,अंतर्राष्ट्रीय वित्तीय केन्द्र,अंतर्राष्ट्रीय वित्तीय केंद्र,surprise,surprise,0.029551208019256592
'' What makes you think so.,महाशय भी सोच रहे थेमौत क्या है? ,'' क्या आप ऐसा सोचते हैं.,surprise,surprise,0.04321196675300598
Restitution,प्रत्यानयन,रेस्ट्शन,surprise,surprise,0.12643712759017944
